ENTITY_CD,SCHOOL_NAME,YEAR,DISTRICT_CD,DISTRICT_NAME,CSO_NAME,STREET,CITY,PHONE,GRADE_RANGE,NUM_PRINC,NUM_TEACH,NUM_COUNSELORS,NUM_SOCIAL,PER_ATTEND,PER_TURN_ALL,PER_TURN_FIVE_YRS
140701060004,UNION EAST ELEMENTARY SCHOOL,2018,14070106,CHEEKTOWAGA CSD,BRIAN BRIDGES,3550 UNION RD,CHEEKTOWAGA,7166863620,"K-4, UE",1,56,2,1,,,
140701060006,CHEEKTOWAGA HIGH SCHOOL,2018,14070106,CHEEKTOWAGA CSD,SCOTT ZIPP,3600 UNION RD,CHEEKTOWAGA,7166863602,"9-12, US",1,60,3,0,,,
140701060007,CHEEKTOWAGA MIDDLE SCHOOL,2018,14070106,CHEEKTOWAGA CSD,GRETCHEN SUKDOLAK,3600 UNION RD,CHEEKTOWAGA,7166863660,"5-8, UE, US",1,65,3,1,,,
140701060008,PINE HILL EDUCATION CENTER,2018,14070106,CHEEKTOWAGA CSD,STEVEN WRIGHT,1635 E DELEVAN AVE,BUFFALO,7166863680,"K-12, US",1,17,1,1,,,
140702030000,CHEEKTOWAGA-MARYVALE UNION FREE SCHOOL DISTRICT,2018,14070203,CHEEKTOWAGA-MARYVALE UFSD,DEBORAH ZIOLKOWSKI,1050 MARYVALE DR,CHEEKTOWAGA,7166317407,"PK-12, UE, US",5,161,5,0,93,5,25
140702030003,MARYVALE PRIMARY SCHOOL,2018,14070203,CHEEKTOWAGA-MARYVALE UFSD,JOSEPH D'ANGELO,1 NAGEL DR,CHEEKTOWAGA,7166855800,PK-2,1,34,1,0,,,
140702030004,MARYVALE INTERMEDIATE SCHOOL,2018,14070203,CHEEKTOWAGA-MARYVALE UFSD,MICHAEL VISCOME,1050 MARYVALE DR,CHEEKTOWAGA,7166317423,"3-5, UE",2,35,1,0,,,
140702030005,MARYVALE MIDDLE SCHOOL,2018,14070203,CHEEKTOWAGA-MARYVALE UFSD,JEFFERY RICHARDS,1050 MARYVALE DR,CHEEKTOWAGA,7166317425,"6-8, UE, US",1,45,2,0,,,
140702030006,MARYVALE HIGH SCHOOL,2018,14070203,CHEEKTOWAGA-MARYVALE UFSD,THOMAS STACK,1050 MARYVALE DR,CHEEKTOWAGA,7166317481,"9-12, US",1,55,3,0,,,
140703020000,CLEVELAND HILL UNION FREE SCHOOL DISTRICT,2018,14070302,CLEVELAND HILL UFSD,JON MACSWAN,105 MAPLEVIEW RD,CHEEKTOWAGA,7168367200,"PK-12, UE, US",3,136,5,1,94,9,11
140703020002,CLEVELAND HILL ELEMENTARY SCHOOL,2018,14070302,CLEVELAND HILL UFSD,PATRICK MCCABE,105 MAPLEVIEW RD,CHEEKTOWAGA,7168367200,"PK-5, UE",1,57,1,0,,,
140703020003,CLEVELAND HILL HIGH SCHOOL,2018,14070302,CLEVELAND HILL UFSD,JILL SHERMAN,105 MAPLEVIEW RD,CHEEKTOWAGA,7168367200,9-12,1,45,2,0,,,
140703020004,CLEVELAND HILL MIDDLE SCHOOL,2018,14070302,CLEVELAND HILL UFSD,ANDREA KERSTEN,105 MAPLEVIEW RD,CHEEKTOWAGA,7168367200,"6-8, US",1,40,1,0,,,
140707030000,DEPEW UNION FREE SCHOOL DISTRICT,2018,14070703,DEPEW UFSD,JEFFREY RABEY,5201 S TRANSIT RD,DEPEW,7166865105,"PK-12, UE, US",3,155,9,0,96,6,30
140707030003,DEPEW HIGH SCHOOL,2018,14070703,DEPEW UFSD,CAROL TOWNSEND,5201 S TRANSIT RD,DEPEW,7166865095,"9-12, US",1,59,4,0,,,
140707030004,DEPEW MIDDLE SCHOOL,2018,14070703,DEPEW UFSD,JOSEPH D'AMATO,5201 S TRANSIT RD,DEPEW,7166865050,"6-8, UE, US",1,41,2,0,,,
140707030005,CAYUGA HEIGHTS ELEMENTARY SCHOOL,2018,14070703,DEPEW UFSD,MICHELLE KUDLA,1780 COMO PARK BLVD,DEPEW,7166865006,"K-5, UE",1,69,3,0,,,
140709030000,CHEEKTOWAGA-SLOAN UNION FREE SCHOOL DISTRICT,2018,14070903,CHEEKTOWAGA-SLOAN UFSD,ANDREA GALENSKI,166 HALSTEAD AVE,SLOAN,7168916402,"PK-12, US",4,117,3,3,94,4,17
140709030001,THEODORE ROOSEVELT SCHOOL,2018,14070903,CHEEKTOWAGA-SLOAN UFSD,JEFFREY MOCHRIE,2495 WILLIAM ST,CHEEKTOWAGA,7168916424,PK-2,1,26,0,1,,,
140709030002,WOODROW WILSON ELEMENTARY SCHOOL,2018,14070903,CHEEKTOWAGA-SLOAN UFSD,CAROLYN SEGAL,166 HALSTEAD AVE,SLOAN,7168916419,3-5,1,29,0,1,,,
140709030003,JOHN F KENNEDY MIDDLE SCHOOL,2018,14070903,CHEEKTOWAGA-SLOAN UFSD,GRETCHEN CERCONE,305 CAYUGA CREEK RD,CHEEKTOWAGA,7168977300,6-8,1,31,1,1,,,
140709030004,JOHN F KENNEDY SENIOR HIGH SCHOOL,2018,14070903,CHEEKTOWAGA-SLOAN UFSD,KEVIN KAZMIERCZAK,305 CAYUGA CREEK RD,CHEEKTOWAGA,7168916407,"9-12, US",1,39,2,0,,,
140801060000,CLARENCE CENTRAL SCHOOL DISTRICT,2018,14080106,CLARENCE CSD,GEOFFREY HICKS,9625 MAIN ST,CLARENCE,7164079102,"PK-12, UE, US",6,313,7,0,98,6,26
140801060002,HARRIS HILL ELEMENTARY SCHOOL,2018,14080106,CLARENCE CSD,SUSAN CORRIE,4260 S HARRIS HILL RD,WILLIAMSVILLE,7164079175,K-5,1,32,0,0,,,
140801060003,LEDGEVIEW ELEMENTARY SCHOOL,2018,14080106,CLARENCE CSD,KEITH KUWIK,5150 OLD GOODRICH RD,CLARENCE,7164079275,K-5,1,31,0,0,,,
140801060005,SHERIDAN HILL ELEMENTARY SCHOOL,2018,14080106,CLARENCE CSD,LEE PIERCE,4560 BONCREST DR E,WILLIAMSVILLE,7164079250,"K-5, UE",1,36,0,0,,,
140801060006,CLARENCE SENIOR HIGH SCHOOL,2018,14080106,CLARENCE CSD,KENNETH SMITH,9625 MAIN ST,CLARENCE,7164079020,"9-12, US",1,111,4,0,,,
140801060007,CLARENCE CENTER ELEMENTARY SCHOOL,2018,14080106,CLARENCE CSD,COLLEEN COGGINS,9600 CLARENCE CTR RD,CLARENCE CENTER,7164079150,K-5,1,28,0,0,,,
140801060008,CLARENCE MIDDLE SCHOOL,2018,14080106,CLARENCE CSD,ROBERT MOORE,10150 GREINER RD,CLARENCE,7164079200,"6-8, UE, US",1,84,3,0,,,
141101060000,SPRINGVILLE-GRIFFITH INSTITUTE CENTRAL SCHOOL DISTRICT,2018,14110106,SPRINGVILLE-GRIFFITH INST CSD,PAUL CONNELLY,307 NEWMAN ST,SPRINGVILLE,7165923230,"PK-12, UE, US",5,130,6,2,96,5,50
141101060001,GRIFFITH INSTITUTE HIGH SCHOOL,2018,14110106,SPRINGVILLE-GRIFFITH INST CSD,VINCENT VANDERLIP,290 N BUFFALO ST,SPRINGVILLE,7165923202,"9-12, US",1,45,3,0,,,
141101060002,COLDEN ELEMENTARY SCHOOL,2018,14110106,SPRINGVILLE-GRIFFITH INST CSD,KATHERINE TOWNSEND,8263 BOSTON-COLDEN RD,COLDEN,7165923217,"K-5, UE",1,20,0,1,,,
141101060003,SPRINGVILLE ELEMENTARY SCHOOL,2018,14110106,SPRINGVILLE-GRIFFITH INST CSD,MARCOLE FEUZ,283 NORTH ST,SPRINGVILLE,7165923204,K-5,1,40,1,1,,,
141101060004,GRIFFITH INSTITUTE MIDDLE SCHOOL,2018,14110106,SPRINGVILLE-GRIFFITH INST CSD,MICHAEL RETZLAFF,267 NEWMAN ST,SPRINGVILLE,7165923203,"6-8, UE, US",1,31,2,0,,,
141201060000,EDEN CENTRAL SCHOOL DISTRICT,2018,14120106,EDEN CSD,SANDRA KEITH-ANZALONE,8289 N MAIN ST,EDEN,7169923629,"PK-12, UE, US",4,113,4,1,95,9,29
141201060001,EDEN JUNIOR-SENIOR HIGH SCHOOL,2018,14120106,EDEN CSD,JEFFREY CERVONI,3150 SCHOOLVIEW RD,EDEN,7169923600,"7-12, US",2,55,3,0,,,
141201060002,G L PRIESS PRIMARY SCHOOL,2018,14120106,EDEN CSD,LORAN CARTER,3000 SCHOOLVIEW RD,EDEN,7169923638,PK-2,1,27,0,0,,,
141201060005,EDEN ELEMENTARY SCHOOL,2018,14120106,EDEN CSD,MARC GRAFF,8289 N MAIN ST,EDEN,7169923610,"2-6, 9, UE, US",1,40,0,0,,,
141301060000,IROQUOIS CENTRAL SCHOOL DISTRICT,2018,14130106,IROQUOIS CSD,DOUGLAS SCOFIELD,2111 GIRDLE RD,ELMA,7166523000,"K-12, UE, US",5,183,5,3,96,4,0
141301060002,IROQUOIS INTERMEDIATE SCHOOL,2018,14130106,IROQUOIS CSD,ROSS ESSLINGER,2111 GIRDLE RD,ELMA,7166523000,"5, UE",1,27,2,1,,,
141301060003,MARILLA PRIMARY SCHOOL,2018,14130106,IROQUOIS CSD,REGINA BECKER,11683 BULLIS RD,MARILLA,7166523000,K-4,1,18,0,1,,,
141301060004,WALES PRIMARY SCHOOL,2018,14130106,IROQUOIS CSD,KIM MORRISON,4650 WOODCHUCK RD,EAST AURORA,7166523000,K-4,1,22,0,1,,,
141301060005,IROQUOIS MIDDLE SCHOOL,2018,14130106,IROQUOIS CSD,ROSS ESSLINGER,2111 GIRDLE RD,ELMA,7166523000,"6-8, US",1,57,2,1,,,
141301060006,IROQUOIS SENIOR HIGH SCHOOL,2018,14130106,IROQUOIS CSD,DENNIS KENNEY,2111 GIRDLE RD,ELMA,7166523000,"9-12, US",1,65,3,1,,,
141301060007,ELMA PRIMARY SCHOOL,2018,14130106,IROQUOIS CSD,DARCY WALKER,711 RICE RD,ELMA,7166523000,K-4,1,23,0,1,,,
141401060000,EVANS-BRANT CENTRAL SCHOOL DISTRICT (LAKE SHORE),2018,14140106,EVANS-BRANT CSD (LAKE SHORE),JAMES PRZEPASNIAK,959 BEACH RD,ANGOLA,7169262201,"PK-12, UE, US",5,189,10,1,94,8,17
141401060001,HIGHLAND ELEMENTARY SCHOOL,2018,14140106,EVANS-BRANT CSD (LAKE SHORE),CHRISTOPHER WALSH,6745 ERIE RD,DERBY,7169262461,"K-5, UE",1,28,1,0,,,
141401060003,LAKE SHORE SENIOR HIGH SCHOOL,2018,14140106,EVANS-BRANT CSD (LAKE SHORE),JULIE HOERNER,959 BEACH RD,ANGOLA,7169262310,"9-12, US",1,65,5,0,,,
141401060004,JOHN T WAUGH ELEMENTARY SCHOOL,2018,14140106,EVANS-BRANT CSD (LAKE SHORE),PAULA EASTMAN,100 HIGH ST,ANGOLA,7169262371,K-5,1,31,1,0,,,
141401060008,A J SCHMIDT ELEMENTARY SCHOOL,2018,14140106,EVANS-BRANT CSD (LAKE SHORE),JILL CLARK,9455 LAKE SHORE RD,ANGOLA,7169262351,K-5,1,27,1,0,,,
141401060009,LAKE SHORE MIDDLE SCHOOL,2018,14140106,EVANS-BRANT CSD (LAKE SHORE),ERICH REIDELL,8855 ERIE RD,ANGOLA,7169262402,"6-8, UE, US",1,44,1,0,,,
141501060000,GRAND ISLAND CENTRAL SCHOOL DISTRICT,2018,14150106,GRAND ISLAND CSD,TERESA LAWRENCE,1100 RANSOM RD,GRAND ISLAND,7167738800,"PK-12, UE, US",5,259,6,2,95,6,25
141501060001,HUTH ROAD SCHOOL,2018,14150106,GRAND ISLAND CSD,KERRI NOWAK,1773 HUTH RD,GRAND ISLAND,7167738850,"2-5, UE",1,35,0,1,,,
141501060003,KAEGEBEIN SCHOOL,2018,14150106,GRAND ISLAND CSD,MARY HAGGERTY,1690 LOVE RD,GRAND ISLAND,7167738840,"2-5, UE",1,41,0,0,,,
141501060004,GRAND ISLAND SENIOR HIGH SCHOOL,2018,14150106,GRAND ISLAND CSD,DANIEL QUARTLEY,1100 RANSOM RD,GRAND ISLAND,7167738820,"9-12, US",1,89,4,1,,,
141501060005,VERONICA E CONNOR MIDDLE SCHOOL,2018,14150106,GRAND ISLAND CSD,JOHN FITZPATRICK,1100 RANSOM RD,GRAND ISLAND,7167738830,"6-8, UE, US",1,71,2,0,,,
141501060006,CHARLOTTE SIDWAY SCHOOL,2018,14150106,GRAND ISLAND CSD,DENISE DUNBAR,2451 BASELINE RD,GRAND ISLAND,7167738870,"PK-1, UE",1,33,0,0,,,
141601060000,HAMBURG CENTRAL SCHOOL DISTRICT,2018,14160106,HAMBURG CSD,MICHAEL CORNELL,5305 ABBOTT RD,HAMBURG,7166463200,"PK-12, UE, US",6,270,8,3,96,7,43
141601060001,ARMOR ELEMENTARY SCHOOL,2018,14160106,HAMBURG CSD,LESLIE BENNETT,5301 ABBOTT RD,HAMBURG,7166463350,K-5,1,29,0,0,,,
141601060002,BOSTON VALLEY ELEMENTARY SCHOOL,2018,14160106,HAMBURG CSD,JAMES MARTINEZ,7476 BACK CREEK RD,HAMBURG,7166463240,"K-5, UE",1,24,1,0,,,
141601060003,CHARLOTTE AVENUE ELEMENTARY SCHOOL,2018,14160106,HAMBURG CSD,DANIELLE LANGO,301 CHARLOTTE AVE,HAMBURG,7166463370,PK-5,1,23,0,0,,,
141601060004,UNION PLEASANT AVENUE ELEMENTARY SCHOOL,2018,14160106,HAMBURG CSD,JACQUELINE PEFFER,150 PLEASANT AVE,HAMBURG,7166463280,"K-5, UE",1,46,0,1,,,
141601060006,HAMBURG MIDDLE SCHOOL,2018,14160106,HAMBURG CSD,JENNIFER GIALLELLA,360 DIVISION ST,HAMBURG,7166463250,"6-8, UE, US",1,76,3,1,,,
141601060007,HAMBURG HIGH SCHOOL,2018,14160106,HAMBURG CSD,MICHAEL GALLAGHER,4111 LEGION DR,HAMBURG,7166463300,"9-12, US",1,90,4,1,,,
141604060000,FRONTIER CENTRAL SCHOOL DISTRICT,2018,14160406,FRONTIER CSD,BRET APTHORPE,S 5120 ORCHARD AVE,HAMBURG,7169261711,"PK-12, UE, US",6,344,9,4,92,5,0
141604060003,BIG TREE ELEMENTARY SCHOOL,2018,14160406,FRONTIER CSD,JOANNE SANIEWSKI,S 4460 BAY VIEW RD,HAMBURG,7169261740,"K-5, UE",1,36,0,0,,,
141604060004,BLASDELL ELEMENTARY SCHOOL,2018,14160406,FRONTIER CSD,LINDA DANSA,3780 S PARK AVE,BLASDELL,7169261750,PK-5,1,33,0,1,,,
141604060005,CLOVERBANK ELEMENTARY SCHOOL,2018,14160406,FRONTIER CSD,MICHELLE SIEBERT,2761 CLOVERBANK RD,HAMBURG,7169261760,"PK-5, UE",1,37,0,1,,,
141604060006,PINEHURST ELEMENTARY SCHOOL,2018,14160406,FRONTIER CSD,JENNIFER MAKOWSKI,6050 FAIRWAY CT,LAKE VIEW,7169261770,K-5,1,44,0,0,,,
141604060007,FRONTIER MIDDLE SCHOOL,2018,14160406,FRONTIER CSD,BARBARA SHEA,2751 AMSDELL RD,HAMBURG,7169261730,"6-8, UE, US",1,96,3,1,,,
141604060008,FRONTIER SENIOR HIGH SCHOOL,2018,14160406,FRONTIER CSD,JEFFREY SORTISIO,S 4432 BAY VIEW RD,HAMBURG,7169261720,"9-12, US",1,107,6,1,,,
141701040000,HOLLAND CENTRAL SCHOOL DISTRICT,2018,14170104,HOLLAND CSD,CATHY FABIATOS,103 CANADA ST,HOLLAND,7165378222,"PK-12, US",2,86,2,1,96,9,30
141701040001,HOLLAND JUNIOR/SENIOR HIGH SCHOOL,2018,14170104,HOLLAND CSD,CARL GUIDOTTI,103 CANADA ST,HOLLAND,7165378220,"7-12, US",1,46,2,0,,,
141701040002,HAROLD O BRUMSTED ELEMENTARY SCHOOL,2018,14170104,HOLLAND CSD,JASON SMITH,173 CANADA ST,HOLLAND,7165378255,PK-6,1,45,0,1,,,
141800010000,LACKAWANNA CITY SCHOOL DISTRICT,2018,14180001,LACKAWANNA CITY SD,ANNE SPADONE,245 S SHORE BLVD,LACKAWANNA,7168276767,"K-12, UE, US",4,141,5,4,95,9,33
141800010005,LACKAWANNA MIDDLE SCHOOL,2018,14180001,LACKAWANNA CITY SD,MATTHEW MCKENNA,550 MARTIN RD,LACKAWANNA,7168276704,"6-8, UE, US",1,42,1,1,,,
141800010008,LACKAWANNA HIGH SCHOOL,2018,14180001,LACKAWANNA CITY SD,BRUCE AXELSON,550 MARTIN RD,LACKAWANNA,7168276727,"9-12, US",1,49,3,1,,,
141800010010,TRUMAN ELEMENTARY SCHOOL,2018,14180001,LACKAWANNA CITY SD,ANGELA MCCAFFREY,15 INNER DR,LACKAWANNA,7168276741,K-1,1,29,0,1,,,
141800010011,MARTIN ROAD ELEMENTARY SCHOOL,2018,14180001,LACKAWANNA CITY SD,JULIE ANDREOZZI,135 MARTIN RD,LACKAWANNA,7168276734,1-5,1,40,1,1,,,
141800860044,GLOBAL CONCEPTS CHARTER SCHOOL,2018,,,JEANNE TRIBUZZI,1001 RIDGE RD,LACKAWANNA,7168211903,"K-12, UE, US",2,82,4,0,100,26,35
141901060000,LANCASTER CENTRAL SCHOOL DISTRICT,2018,14190106,LANCASTER CSD,MICHAEL VALLELY,177 CENTRAL AVE,LANCASTER,7166863201,"PK-12, UE, US",8,422,11,8,95,9,26
141901060001,JOHN A SCIOLE ELEMENTARY SCHOOL,2018,14190106,LANCASTER CSD,CARRIE GREENE,86 ALYS DR E,DEPEW,7166863285,"K-3, UE",1,35,0,1,,,
141901060004,COMO PARK ELEMENTARY SCHOOL,2018,14190106,LANCASTER CSD,MARY MARCINELLI,1985 COMO PARK BLVD,LANCASTER,7166863235,K-3,2,28,0,0,,,
141901060005,COURT STREET ELEMENTARY SCHOOL,2018,14190106,LANCASTER CSD,JACQUELINE CLINARD,91 COURT ST,LANCASTER,7166863240,K-3,1,30,0,1,,,
141901060006,HILLVIEW ELEMENTARY SCHOOL,2018,14190106,LANCASTER CSD,AMY MOELLER,11 PLEASANTVIEW DR,LANCASTER,7166863280,K-3,1,40,0,1,,,
141901060007,LANCASTER MIDDLE SCHOOL,2018,14190106,LANCASTER CSD,PETER KRUSZYNSKI,148 AURORA ST,LANCASTER,7166863220,"7-8, US",1,72,3,2,,,
141901060008,LANCASTER HIGH SCHOOL,2018,14190106,LANCASTER CSD,CESAR MARCHIOLI,1 FORTON DR,LANCASTER,7166863250,"9-12, US",1,141,8,4,,,
141901060010,WILLIAM STREET SCHOOL,2018,14190106,LANCASTER CSD,JACQUELINE BULL,5201 WILLIAM ST,LANCASTER,7166863800,"4-6, UE",1,86,0,3,,,
142101040000,AKRON CENTRAL SCHOOL DISTRICT,2018,14210104,AKRON CSD,KEVIN SHANLEY,47 BLOOMINGDALE AVE,AKRON,7165425006,"PK-12, UE, US",3,102,4,1,93,3,0
142101040001,AKRON ELEMENTARY SCHOOL,2018,14210104,AKRON CSD,TODD ESPOSITO,47 BLOOMINGDALE AVE,AKRON,7165425050,"K-5, UE",1,39,1,0,,,
142101040002,AKRON HIGH SCHOOL,2018,14210104,AKRON CSD,JOSEPH LUCENTI,47 BLOOMINGDALE AVE,AKRON,7165425030,"9-12, US",1,39,2,1,,,
142101040003,AKRON MIDDLE SCHOOL,2018,14210104,AKRON CSD,JOSEPH CAPRIO,47 BLOOMINGDALE AVE,AKRON,7165425040,6-8,1,34,1,0,,,
142201040000,NORTH COLLINS CENTRAL SCHOOL DISTRICT,2018,14220104,NORTH COLLINS CSD,JOAN THOMAS,2045 SCHOOL ST,NORTH COLLINS,7163370101,PK-12,3,52,3,0,91,10,40
142201040001,NORTH COLLINS JUNIOR-SENIOR HIGH SCHOOL,2018,14220104,NORTH COLLINS CSD,ANNIE METCALF,2045 SCHOOL ST,NORTH COLLINS,7163370101,7-12,2,32,2,0,,,
142201040002,NORTH COLLINS ELEMENTARY SCHOOL,2018,14220104,NORTH COLLINS CSD,JOHN CATALDO,10469 BANTLE RD,NORTH COLLINS,7163370166,"PK-6, 9",1,21,1,0,,,
142301060000,ORCHARD PARK CENTRAL SCHOOL DISTRICT,2018,14230106,ORCHARD PARK CSD,MATTHEW MCGARRITY,2240 SOUTHWESTERN BLVD,WEST SENECA,7162096280,PK-12,6,415,12,8,95,7,26
142301060001,WINDOM ELEMENTARY SCHOOL,2018,14230106,ORCHARD PARK CSD,WENDY GLOSS,3870 SHELDON RD,ORCHARD PARK,7162096279,K-5,1,55,1,1,,,
142301060002,ORCHARD PARK MIDDLE SCHOOL,2018,14230106,ORCHARD PARK CSD,DAVID LILLECK,60 S LINCOLN AVE,ORCHARD PARK,7162096227,6-8,1,112,4,2,,,
142301060003,EGGERT ROAD ELEMENTARY SCHOOL,2018,14230106,ORCHARD PARK CSD,TERRY TRYON,3580 EGGERT RD,ORCHARD PARK,7162096215,K-5,1,51,1,1,,,
142301060005,SOUTH DAVIS ELEMENTARY SCHOOL,2018,14230106,ORCHARD PARK CSD,CHRISTINE RASSOW,51 S DAVIS ST,ORCHARD PARK,7162096246,K-5,1,33,0,1,,,
142301060006,ORCHARD PARK HIGH SCHOOL,2018,14230106,ORCHARD PARK CSD,JON WOLF,4040 BAKER RD,ORCHARD PARK,7162096243,9-12,1,123,6,2,,,
142301060007,ELLICOTT ROAD ELEMENTARY SCHOOL,2018,14230106,ORCHARD PARK CSD,PAUL PIETRANTONE,5180 ELLICOTT RD,ORCHARD PARK,7162096278,K-5,1,56,0,1,,,
142500010000,TONAWANDA CITY SCHOOL DISTRICT,2018,14250001,TONAWANDA CITY SD,JAMES NEWTON,100 HINDS ST,TONAWANDA,7166947784,"PK-12, UE, US",6,156,6,4,92,6,8
142500010003,FLETCHER ELEMENTARY SCHOOL,2018,14250001,TONAWANDA CITY SD,J MCKENNA,555 FLETCHER ST,TONAWANDA,7166947694,"4-6, UE",2,25,0,0,,,
142500010005,MULLEN ELEMENTARY SCHOOL,2018,14250001,TONAWANDA CITY SD,BRADLY HALGASH,130 SYRACUSE ST,TONAWANDA,7166946805,"K-4, UE",1,28,1,1,,,
142500010007,RIVERVIEW ELEMENTARY SCHOOL,2018,14250001,TONAWANDA CITY SD,LARRY BADGLEY,55 TAYLOR DR,TONAWANDA,7166947697,PK-3,1,28,0,1,,,
142500010009,TONAWANDA MIDDLE/HIGH SCHOOL,2018,14250001,TONAWANDA CITY SD,JESSICA LYONS,600 FLETCHER ST,TONAWANDA,7166947660,"6-12, US",2,84,5,2,,,
142601030000,KENMORE-TONAWANDA UNION FREE SCHOOL DISTRICT,2018,14260103,KENMORE-TONAWANDA UFSD,DAWN MIRAND,1500 COLVIN BLVD,BUFFALO,7168748400,"PK-12, UE, US",9,636,22,5,95,7,13
142601030003,BEN FRANKLIN MIDDLE SCHOOL,2018,14260103,KENMORE-TONAWANDA UFSD,KEVIN KRUGER,540 PARKHURST BLVD,BUFFALO,7168748404,5-7,1,72,3,0,,,
142601030006,CHARLES A LINDBERGH ELEMENTARY SCHOOL,2018,14260103,KENMORE-TONAWANDA UFSD,MICHAEL MUSCARELLA,184 IRVING TER,BUFFALO,7168748410,K-4,1,42,1,0,,,
142601030011,HERBERT HOOVER MIDDLE SCHOOL,2018,14260103,KENMORE-TONAWANDA UFSD,CARMELINA PERSICO,249 THORNCLIFF RD,BUFFALO,7168748405,"5-8, UE, US",1,91,4,0,,,
142601030013,HOLMES ELEMENTARY SCHOOL,2018,14260103,KENMORE-TONAWANDA UFSD,LISA CROSS,365 DUPONT AVE,TONAWANDA,7168748423,"K-4, UE",1,34,0,1,,,
142601030020,THOMAS A EDISON ELEMENTARY SCHOOL,2018,14260103,KENMORE-TONAWANDA UFSD,DAVID KING,236 GRAYTON RD,TONAWANDA,7168748416,K-4,1,44,0,1,,,
142601030023,BEN FRANKLIN ELEMENTARY SCHOOL,2018,14260103,KENMORE-TONAWANDA UFSD,PATRICIA KOSIS,500 PARKHURST BLVD,BUFFALO,7168748415,K-4,1,53,1,0,,,
142601030024,HERBERT HOOVER ELEMENTARY SCHOOL,2018,14260103,KENMORE-TONAWANDA UFSD,MICHAEL HUFF,199 THORNCLIFF RD,BUFFALO,7168748414,"K-4, UE",1,53,1,0,,,
142601030025,KENMORE EAST SENIOR HIGH SCHOOL,2018,14260103,KENMORE-TONAWANDA UFSD,PATRICK HEYDEN,350 FRIES RD,TONAWANDA,7168748402,"8-12, US",1,134,6,0,,,
142601030026,KENMORE WEST SENIOR HIGH SCHOOL,2018,14260103,KENMORE-TONAWANDA UFSD,DEAN JOHNSON,33 HIGHLAND PKY,BUFFALO,7168748401,8-12,1,159,6,0,,,
142601860031,CHARTER SCHOOL FOR APPLIED TECHNOLOGIES,2018,,,EFRAIN MARTINEZ,2303 KENMORE AVE,BUFFALO,7168767505,K-12,3,152,8,4,93,23,21
142801060000,WEST SENECA CENTRAL SCHOOL DISTRICT,2018,14280106,WEST SENECA CSD,MARK CRAWFORD,675 POTTERS RD,WEST SENECA,7166773101,"PK-12, UE, US",10,429,11,9,95,5,33
142801060003,ALLENDALE ELEMENTARY SCHOOL,2018,14280106,WEST SENECA CSD,MARGARET BORCHERT,1399 ORCHARD PARK RD,WEST SENECA,7166773660,"PK-5, UE",1,33,0,1,,,
142801060005,EAST MIDDLE SCHOOL,2018,14280106,WEST SENECA CSD,SHARON LOUGHRAN,1445 CENTER RD,WEST SENECA,7166773530,"5-8, UE, US",1,65,2,1,,,
142801060008,WINCHESTER ELEMENTARY SCHOOL,2018,14280106,WEST SENECA CSD,KATHLEEN BRACHMANN,650 HARLEM RD,WEST SENECA,7166773580,"1-5, UE",1,26,0,1,,,
142801060010,WEST SENECA WEST SENIOR HIGH SCHOOL,2018,14280106,WEST SENECA CSD,JOHN BRINKER,3330 SENECA ST,WEST SENECA,7166773350,"9-12, US",1,89,3,1,,,
142801060011,WEST MIDDLE SCHOOL,2018,14280106,WEST SENECA CSD,MATTHEW BYSTRAK,395 CENTER RD,WEST SENECA,7166773500,6-8,1,67,2,1,,,
142801060015,CLINTON ELEMENTARY SCHOOL,2018,14280106,WEST SENECA CSD,CHRISTIE ANGRISANO,4100 CLINTON ST,WEST SENECA,7166773620,"K-6, UE",1,39,0,1,,,
142801060016,WEST SENECA EAST SENIOR HIGH SCHOOL,2018,14280106,WEST SENECA CSD,JONATHAN CERVONI,4760 SENECA ST,WEST SENECA,7166773300,"9-12, US",1,76,4,1,,,
142801060017,NORTHWOOD ELEMENTARY SCHOOL,2018,14280106,WEST SENECA CSD,CAROLYN ANDERSON,250 NORTHWOOD AVE,WEST SENECA,7166773640,"PK-4, UE",1,35,0,1,,,
142801060018,WEST ELEMENTARY SCHOOL,2018,14280106,WEST SENECA CSD,RACHEL BADGER,1397 ORCHARD PARK RD,WEST SENECA,7166773250,"K-5, UE",1,41,0,1,,,
150203040000,CROWN POINT CENTRAL SCHOOL DISTRICT,2018,15020304,CROWN POINT CSD,SHARI BRANNOCK,2758 MAIN ST,CROWN POINT,5185974200,K-12,1,27,1,0,95,7,25
150203040001,CROWN POINT CENTRAL SCHOOL,2018,15020304,CROWN POINT CSD,TARA SPAULDING,2758 MAIN ST,CROWN POINT,5185973285,K-12,1,27,1,0,,,
150301040000,ELIZABETHTOWN-LEWIS CENTRAL SCHOOL DISTRICT,2018,15030104,ELIZABETHTOWN-LEWIS CSD,SCOTT OSBORN,7530 COURT ST,ELIZABETHTOWN,5188736371,K-12,1,34,0,0,95,3,0
150301040001,ELIZABETHTOWN-LEWIS CENTRAL SCHOOL,2018,15030104,ELIZABETHTOWN-LEWIS CSD,SCOTT OSBORN,7530 COURT ST,ELIZABETHTOWN,5188736371,K-12,1,34,0,0,,,
150601040000,KEENE CENTRAL SCHOOL DISTRICT,2018,15060104,KEENE CSD,DANIEL MAYBERRY,33 MARKET ST,KEENE VALLEY,5185764555,PK-12,2,22,2,0,94,0,0
